Country,CTS Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Estonia, Rep. of",Expenditure on Waste Management,8200000.132865603,13300000.190351607,10200000.130391764,13900000.158958513,19600000.200460855,31000000.2732898,34800000.25646827,38200000.23290794,38700000.23287903,35600000.251913056,29200000.198085625,57400000.34418145,29700000.165767226,31500000.166571658,31100000.155125912,41400000.200665295,39500000.18162673,52700000.221116126,60000000.23137285,70000000.25211842,68500000.24940851,85800000.27285807
"Estonia, Rep. of",Expenditure on Waste Water Management,3100000.050229679,8000000.114497207,9300000.118886609,11300000.129225265,11300000.11557182,13400000.11813172,20600000.151817422,25200000.153646074,48300000.29064747,24000000.169829026,25700000.174342483,21000000.125920042,26800000.1495812,23500000.124267746,17200000.08579311,15800000.076582408,16200000.074489951,16900000.070908207,18500000.07133996,18200000.06555079,19300000.070271306,16800000.053426754
Finland,Environmental Protection Expenditures,427000000.3129535,434000000.3000802,442000000.29767114,459000000.3024732,452000000.28471005,517000000.31392884,543000000.3140599,597000000.3191285,594000000.3057679,619000000.3405833,520000000.2763855,480000000.2424267,496000000.24672073,522000000.25548035,521000000.2518161,499000000.23606217,493000000.2266479,453000000.2001759,462000000.1978909,464000000.19344777,543000000.2281637,579000000.2302818
Finland,Expenditure on Biodiversity & Landscape Protection,0.0,48000000.0331886,37000000.024918176,45000000.029654235,37000000.023305915,62000000.03764717,61000000.03528112,61000000.032607764,65000000.03345945,70000000.03851508,70000000.03720574,81000000.0409095,88000000.04377304,93000000.04551661,89000000.04301657,81000000.03831871,70000000.03218125,67000000.02960659,74000000.03169681,80000000.03335306,138000000.05798635,150000000.05965853
Finland,Expenditure on Environmental Protection Not Elsewhere Classified,0.0,134000000.09265149,141000000.09495845,153000000.1008244,149000000.09385353,150000000.09108186,151000000.08733523,148000000.07911393,158000000.0813322,184000000.10123962,181000000.09620342,140000000.0707078,141000000.07013634,136000000.06656194,138000000.06669986,119000000.05629538,103000000.0473524,109000000.04816593,98000000.04197685,92000000.03835602,99000000.04159892,103000000.04096551
Finland,Expenditure on Environmental Protection R&D,0.0,53000000.03664574,57000000.038387455,57000000.03756203,59000000.03716348,65000000.03946881,62000000.0358595,64000000.03421143,64000000.03294469,64000000.03521378,70000000.03720574,68000000.03434378,71000000.03531688,84000000.04111178,73000000.03528325,78000000.03689949,70000000.03218125,69000000.03049037,73000000.03126848,71000000.02960084,73000000.03067395,83000000.03301105
Finland,Expenditure on Pollution Abatement,0.0,84000000.05808005,92000000.0619587,90000000.05930847,89000000.05606017,95000000.05768518,101000000.05841628,162000000.08659768,145000000.0746403,132000000.07262844,133000000.07069091,134000000.06767745,138000000.06864408,152000000.07439274,162000000.07829982,145000000.06859523,175000000.0804531,157000000.06937662,162000000.0693903,165000000.0687907,178000000.074794,183000000.07278338
Finland,Expenditure on Waste Management,0.0,115000000.07951434,115000000.07744838,114000000.07512406,118000000.07432696,145000000.0880458,168000000.09716767,162000000.08659768,162000000.08339125,169000000.0929864,66000000.0350797,57000000.02878817,58000000.028850414,57000000.027897276,59000000.028516605,76000000.03595336,75000000.0344799,51000000.02253635,55000000.02355844,56000000.02334715,55000000.02311051,60000000.023863405
Finland,Expenditure on Waste Water Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,Environmental Protection Expenditures,10292000000.696072,11475000000.746002,12037000000.75808,13178000000.808136,14270000000.837433,15326000000.867884,16554000000.895706,16875000000.869236,17795000000.893154,19207000000.991882,19833000000.99399,20406000000.991367,21009000001.00579,21651000001.02263,21995000001.023136,22083000001.00449,21113000000.945023,21477000000.934902,22769000000.96344,24266000000.995472,23973000001.037926,26013000001.041008
France,Expenditure on Biodiversity & Landscape Protection,780000000.0527531,898000000.0583799,888000000.0559254,867000000.0531684,981000000.0575697,1020000000.0577607,1064000000.057571,1118000000.0575886,1165000000.0584729,1361000000.0702844,1510000000.0756783,1648000000.0800633,1791000000.085743,1834000000.0866244,1829000000.085079,1886000000.0857885,1712000000.0766294,1719000000.0748289,1873000000.0792534,1961000000.0804467,1971000000.0853357,2101000000.0840795
France,Expenditure on Environmental Protection Not Elsewhere Classified,1561000000.105574,1987000000.1291769,1789000000.1126695,2003000000.1228333,1955000000.1147287,1842000000.104309,2080000000.112545,1760000000.0906582,1672000000.0839198,1759000000.0908377,1728000000.0866039,1590000000.0772457,1648000000.0788968,1937000000.0914893,1881000000.087498,1923000000.0874715,1797000000.080434,1781000000.0775278,1873000000.0792534,1857000000.0761805,1799000000.0778887,1847000000.0739148
France,Expenditure on Environmental Protection R&D,198000000.01339117,264000000.01716292,237000000.01492605,199000000.0122036,225000000.01320407,380000000.0215187,472000000.02553904,473000000.02436435,413000000.020729,312000000.0161122,341000000.01709026,373000000.0181211,357000000.0170911,373000000.0176177,699000000.0325152,773000000.0351614,798000000.0357186,809000000.0352161,844000000.0357127,880000000.0361005,761000000.032948,831000000.0332557
France,Expenditure on Pollution Abatement,491000000.0332074,720000000.046808,697000000.0438964,663000000.0406582,756000000.0443656,811000000.0459255,1053000000.0569758,1106000000.0569704,1405000000.0705187,1786000000.092232,1873000000.093871,1591000000.077294,1692000000.0810032,1849000000.0873327,1695000000.0788457,1742000000.0792382,1611000000.0721087,1580000000.068778,1818000000.0769262,2466000000.101164,2597000000.1124387,3039000000.1216173
France,Expenditure on Waste Management,4668000000.315707,4799000000.311988,5551000000.349597,6362000000.390147,6912000000.405629,7322000000.414632,7770000000.420421,8014000000.412804,8408000000.422008,8978000000.463638,9550000000.478628,10263000000.498598,10604000000.507658,10878000000.513794,11290000000.525173,11289000000.513502,10925000000.489004,11158000000.485712,11668000000.493715,12072000000.495234,12094000000.523617,13134000000.525608
